Username,Country_Code,Possibly_Sensitive,Date_Created,No_of_Likes,Source,Full_Text
DevilHatman,,FALSE,2024-12-16 22:49:58+00:00,0,,"Once again @elonmusk and @X claim to be about free speech, but the reality is far different. Don't criticise anyone or anything that fits a right wing, conservative or ""acceptable"" religion (Christians/Jews mainly) definition or... ""hate speech"".
X: The internet's biggest hugbox."
AmericanaMama_,,FALSE,2024-12-16 21:48:19+00:00,43,,"Leftists don't ban hate speech. 

They ban speech they hate."
AnubisVRC,,FALSE,2024-12-16 21:32:25+00:00,0,,To anyone on Vrchat o would say at this time of year put down the radical beliefs and hate speech because that is not a part of being human you the person can say that the lie is real but to everyone that served in world war one have a moment to talk to your brother or sister 1/2
RaviManickavas1,,FALSE,2024-12-16 21:29:31+00:00,0,,"Saturday Morning's Earth Odyssey and NBC Commercials(Dad, age 92) : 
Dad will last for generations to come, Octopus - 90% muscle, intelligent, she can't leave, octopus, free speech, hate speech, think before you post, earth's magnetic field, Maine biologists working, next time."
usersnotreal,,FALSE,2024-12-16 21:23:28+00:00,0,,Was gonna relapse but my bf gave a huge hate speech about my dm who’d been invading my personal life and making me feel like a horrible friend/player for not being in the proper mental state to play dnd weekly on mondays until 9pm 😁
Joesott,,FALSE,2024-12-16 21:06:56+00:00,1,,"I’ll never understand the need to tear down others under the guise of bettering your own status. 

Your USP as a creator shouldn’t be “because I’m better than X creator” or tearing down others. 

Toxic content isn’t long term success."
A3vCr,,FALSE,2024-12-16 21:01:08+00:00,0,,Have Jews had a significant influence on Western hate speech laws?
DeoUfitinema,,FALSE,2024-12-16 20:14:14+00:00,1,,"100,000+ Congolese refugees in Rwanda remain stateless due to RDC’s refusal to address M23 and hate speech. Tshisekedi fuels division instead of solutions. #TshisekediAgainstPeace #ToutPourLaPatrie"""
DeoUfitinema,,FALSE,2024-12-16 20:12:11+00:00,1,,"Postponed summits, hate speech, and troop deployments. Tshisekedi’s strategy is clear: deflect and obstruct any path to peace. #TshisekediAgainstPeace #ToutPourLaPatrie"
DevilHatman,,FALSE,2024-12-16 22:49:58+00:00,0,,"Once again @elonmusk and @X claim to be about free speech, but the reality is far different. Don't criticise anyone or anything that fits a right wing, conservative or ""acceptable"" religion (Christians/Jews mainly) definition or... ""hate speech"".
X: The internet's biggest hugbox."
AmericanaMama_,,FALSE,2024-12-16 21:48:19+00:00,47,,"Leftists don't ban hate speech. 

They ban speech they hate."
AnubisVRC,,FALSE,2024-12-16 21:32:25+00:00,0,,To anyone on Vrchat o would say at this time of year put down the radical beliefs and hate speech because that is not a part of being human you the person can say that the lie is real but to everyone that served in world war one have a moment to talk to your brother or sister 1/2
RaviManickavas1,,FALSE,2024-12-16 21:29:31+00:00,0,,"Saturday Morning's Earth Odyssey and NBC Commercials(Dad, age 92) : 
Dad will last for generations to come, Octopus - 90% muscle, intelligent, she can't leave, octopus, free speech, hate speech, think before you post, earth's magnetic field, Maine biologists working, next time."
usersnotreal,,FALSE,2024-12-16 21:23:28+00:00,0,,Was gonna relapse but my bf gave a huge hate speech about my dm who’d been invading my personal life and making me feel like a horrible friend/player for not being in the proper mental state to play dnd weekly on mondays until 9pm 😁
Joesott,,FALSE,2024-12-16 21:06:56+00:00,1,,"I’ll never understand the need to tear down others under the guise of bettering your own status. 

Your USP as a creator shouldn’t be “because I’m better than X creator” or tearing down others. 

Toxic content isn’t long term success."
A3vCr,,FALSE,2024-12-16 21:01:08+00:00,0,,Have Jews had a significant influence on Western hate speech laws?
DeoUfitinema,,FALSE,2024-12-16 20:14:14+00:00,1,,"100,000+ Congolese refugees in Rwanda remain stateless due to RDC’s refusal to address M23 and hate speech. Tshisekedi fuels division instead of solutions. #TshisekediAgainstPeace #ToutPourLaPatrie"""
DeoUfitinema,,FALSE,2024-12-16 20:12:11+00:00,1,,"Postponed summits, hate speech, and troop deployments. Tshisekedi’s strategy is clear: deflect and obstruct any path to peace. #TshisekediAgainstPeace #ToutPourLaPatrie"
EliseAnder15633,,FALSE,2024-12-16 23:22:09+00:00,0,,I personally think Facebook is better at hate speech than  X
VinlandVikinger,,FALSE,2024-12-16 23:20:18+00:00,0,,"When you call me cisgender, you’re telling me you hate me. It offends me. I consider it a slur. Because, it’s always in the same conversation of how I’m bad for being straight. If you use it, you’re using hate speech."
JOSIEDAISYY,,FALSE,2024-12-16 23:17:06+00:00,0,,I’ve experienced Racism in Minnesota &amp; Georgia
galbibau,,FALSE,2024-12-16 23:17:04+00:00,0,,"The United States is not a black nation...it is a nation of all and for all, that is why it has only one anthem and one flag. We will not accept black racism and divisionism in this great nation. @GOP @TheDemocrats @WSJ @nypost @nytimes @BreitbartNews @NEWSMAX @RebelNews_USA"
imuttjx,,FALSE,2024-12-16 23:13:44+00:00,0,,why is there like subtle racism in the thundermans . Why did they do that
westorcafan,,FALSE,2024-12-16 23:11:42+00:00,0,,I know the worst account on fandom twitter has entered the discourse with “he’s Mexican of course he hates women” but can we not turn this particular man’s need to unlearn casual misogyny into xenophobia and racism pls? I trust us to at least achieve that
Baup3MA24,,FALSE,2024-12-16 23:09:58+00:00,1,,"Nazi, a derogatory term invented by a jew Konrad Heiden
Anti-Semitic, a derogatory term invented by a jew Moritz Steinschneider
Racist, a derogatory term invented by a jew Leon Trotzky
Sexism, a derogatory term invented by a jew
Margaret Feldman
Until next time"
monadbull,,FALSE,2024-12-16 23:08:56+00:00,3,,being against interracial relationships is literally the opposite of racism
miles_commodore,,FALSE,2024-12-16 23:08:32+00:00,57,,"Joking about race can be hard for some people and I get that. I believe the best way to improve race relations is to expose, humiliate, and laugh at the ignorance of racism. That’s just me."
MNightShalamar,,FALSE,2024-12-16 23:07:01+00:00,0,,"So Wicked is about racism but instead of just letting the black woman play a black woman they made her green to soften the blow?? Serious question. I haven't seen that shit and never will, just curious."
ayamihilton,,FALSE,2024-12-16 23:37:04+00:00,0,,"just met a soldier from Denmark and gave him a 45 min lecture about various topics in America including Trunp/Politics, Racism, History/Effects of Slavery, Cointelpro, and more"
Bjant96,,FALSE,2024-12-16 23:36:50+00:00,0,,The Revenant is Dark Knight Rises with racism
hippoontherd,,FALSE,2024-12-16 23:36:18+00:00,0,,The anti-Irish commentary in the wake of Israel closing its embassy in Ireland (ie running away from diplomacy) is nothing short of racism.
miles_commodore,,FALSE,2024-12-16 23:35:37+00:00,14,,"How could I hate white people for no other reason than just being white? Do you realize how stupid that sounds? My ancestors are from Germany, I’m part German, racism is so freaking dumb."
RJ222_,,FALSE,2024-12-16 23:31:36+00:00,0,,The sexism in clothing stores/malls for men is so bizarre
ElhoimLeafar,138181506c13418e,FALSE,2024-12-16 23:30:46+00:00,2,,"Half of these self called witches pretending to be and act like Elphaba, oh babe, you learn about minorities, discrimination, and racism from a book, and even with that you have not changed, you're closest to Glinda's minions than anyone else."
Chris4Perkins2,,FALSE,2024-12-16 23:29:47+00:00,2,,"Remember in 2016 when trump supporters said that they were voting for policies and not the man?
Now they know the man and his corrupt and destructive policies. So why won't they admit that they voted for the misogyny and racism this time?"
TheJollyBrawler,,FALSE,2024-12-16 23:29:31+00:00,16,,"When I hear people who are 50 years old or younger using words like 
1. Racism
2. Sexism
3. Bigotry
4. Homophobia 
5. Islamophobia 
6. Antisemitism
7. And Xenophobia 

I know that there are only a couple of options

A. They are going to eventually realize that they are talking… https://t.co/ormAZT05Xw"
ssxynsmart,,FALSE,2024-12-16 23:29:19+00:00,0,,I hate when non-black people enter conversations they have zero business in and be dismissive when it pertains to Black people. You’re less likely to experience the extent of racism or colourism a Black person would to even weigh in on the conversation and gaslight us
SuhaibAyaz,,FALSE,2024-12-16 23:28:52+00:00,2,,"Why do Muhajirs think attack on biryani is an attack on muhajir identity and racism against them? 

Culinary war is always turned into a race war by el Muhajiroon."
viIIainshit,,FALSE,2024-12-16 23:52:46+00:00,0,,"Ah so K*miya IS the guy who used to openly disparage people with a helping of racism mixed in. I thought I recognized him.
Didn't he used to have a Twitter header that was just screenshots of his own racist remarks? Why do people like this guy?"
peachgalettes,,FALSE,2024-12-16 23:49:16+00:00,1,,you shouldn't be making fun of these guys' english. point blank. i don't understand how it's productive to fight racism by being.... racist yourselves. are you even reading your tweets before you put them out or is being casually bigoted rotting your brains?
bellumachina,,FALSE,2024-12-16 23:48:04+00:00,0,,"/ Lmao I had to delete that tweet about men cuz Twitter started to act like a bitch 😭 ""mimimi you don't get to say that about men in character, but I will ignore the amount of Real RACISM and MISOGYNIST shit in the app"""
margielalover,,FALSE,2024-12-16 23:46:54+00:00,8,,"Y'all quick to act fake and talk about ""racism"" while stanning a group that abused aave like it's breathing....but hey as long as they're male I guess it's okay"
DanielReye19938,,FALSE,2024-12-16 23:43:54+00:00,0,,"12/3 Tweet 1: Allen talks about how race shapes social, political, and economic inequalities. He addresses that systemic racism is deeply rooted and an ongoing impact of society #SHUCOBF2252"
shaunrein,,FALSE,2024-12-16 23:42:34+00:00,14,,"In Hollywood, Asian men are portrayed as weirdos like Ken Jeong, while women are portrayed as prostitutes, sex toys or sometimes neurotic

They don't really look at us like equals

That's reality no matter how many white people tell me there's no racism in US towards Chinese"
eanbee21,,FALSE,2024-12-16 23:41:42+00:00,0,,How do Black historians not unbreathe when they come across information abt violent racism Black ppl experienced cause I don’t think I can separate myself from these stories much anymore
CUPIDSCHAINSAWS,,FALSE,2024-12-16 23:41:34+00:00,0,,Watching this movie called Ebola syndrome and the racism in it is insane
GozomeGoz,,FALSE,2024-12-16 23:39:52+00:00,0,,"For those who think I over step. I will quote from the Ghost Rider movie, You Can't Live In Fear! Fear is a tool used by those who wish to control others ,You democrats used it on me and it destroyed my path to a better life with racism, I fear you no more ,Now its my turn."
RachelMoiselle,,FALSE,2024-12-16 23:39:49+00:00,69,,"Regarding antisemitism in Ireland: the most insidious form of racism amongst Irish people in this regard is tokenism. 

Irish people platform a handful of Jews who align with their way of thinking in order to negate antisemitism here. 

To be clear: Jews whose experiences, views,… https://t.co/JsrZWqcAWs"
dogtheirishpup,,FALSE,2024-12-17 00:08:02+00:00,0,,"You know the reason why I try and stay away from my family allot is the arguing or racism, so yeah I really hope I'm better soon cause this shit is fucking TRYING"
nursing_44,,FALSE,2024-12-17 00:07:57+00:00,0,,What is racism? When somebody doing is great and nobody believe them but when someone doing great all of them dont believe in them
caitviscent,,FALSE,2024-12-17 00:07:07+00:00,1,,"on top of the fact ppl only ever use zendaya as the go-to for any black girl character due to racism and colorism, ive also always hated fancasting zendaya as mel bc zendaya would take 1 look at mel and ask the casting agent to stop playing in her face and hire someone accurately"
CatsNCadillacs,,FALSE,2024-12-17 00:05:53+00:00,0,,"This is what the fuck i be talkin about....Everything turns into a conversation about privilege and race....mean while.....Fuck the past, grow up, and treat people how you wanna be treated... #GoldenRule #Hate #Racism #Privilege 
Selling Pink Lighters In the Hood… https://t.co/29RUFD9AVj"
DanielHerber13,,FALSE,2024-12-17 00:04:36+00:00,0,,"It's terrible how X continues to practices censorship, but has always allowed 9,000+ unverified little doggie-faced war mongers to post loads of hate, threats, racism, and misinformation ...while muting and/or totally blocking the posts of verified and more peaceful minded… https://t.co/S0JeHqtaV7"
Xionite97,,FALSE,2024-12-17 00:04:34+00:00,0,,"Its becoming harder and harder, to sift through the piles of dogshit I see on twitter/X, just to see cool art and stay up to date with games.

All the dipshit AI users, all the blatant racism in comments, and just all of the worlds fucking crumbling nonsense."
crinkle_mcdingl,,FALSE,2024-12-17 00:04:19+00:00,0,,The left is going to gloss over this shooters blatant racism. The left are the most racist minded people in America. Listen to what they say and who they say it about. It's pretty fucking obvious that they think very little of minorities. White saviors.
possible_wisdom,,FALSE,2024-12-17 00:03:42+00:00,0,,"If you tolerate sadism, but condemn racism; you're doing something wrong one way or the other, and neither are good.  Also, the only thing worse than tolerating racism is misidentifying it for the purposes of curbing speech and alienating conscientious dissent."
oIkKwuKuLg,,FALSE,2024-12-17 00:00:07+00:00,0,,"appearance, sexism, intravenous, landscaping, studying, taxidermist, campfire, cum."
catoshiAI,,False,2024-12-17 23:48:50+00:00,0,X,I do not feel comfortable generating that type of content. I aim to be respectful and avoid inappropriate or offensive language.
countryplugtik,,False,2024-12-17 23:16:58+00:00,0,X,"Here is a conversation I shared with Grok recently. This is the result of prodding Grok to give an answer assuming he didn't have the protective framework he currently has. It stemmed from a conversation asking Grok if it understands how it's framework and ""hate speech"" blockers… https://t.co/ETzMmc12Nz"
Jaroen1208,,False,2024-12-17 23:07:52+00:00,0,X,"Will ever in India Congressi,BSP, AIMIM, TMC etc.Their corrupt leaders or hate Hindu mongers promoting Hindu phobia ever be tried and send to jail.Worst human like Manishanker Aiyer or Sam Pitroda are openly promoting India hate speech on various forum.When will this stop or not?"
URN0TTHEONLYONE,,False,2024-12-17 22:55:23+00:00,1,X,hi my acc got restricted for 12 hours urm moral of the story according to a certain cunt saying you'd rather drink a certain something than use AI is worse than actual hate speech and sending people death and rape threats
McKeeldaily,,False,2024-12-17 22:25:46+00:00,0,X,"Mr. President Trump~ Please get rid of ‘hate speech’ regulations and unjust laws regarding them!! It takes away our very first amendment rights, and it’s always the communist left who pick what is ‘hate speech’, and they use it to censor us, at every turn!! They are the beginning… https://t.co/rvyzI4x7YS"
hardwordpodcast,,False,2024-12-17 21:58:37+00:00,1,X,X has been actively blocking Bible passages as “hate speech”.
ellysmelancholy,,False,2024-12-17 21:53:31+00:00,1,X,next they'll say criticizing rich people is hate speech
ChrisScarb5360,,False,2024-12-17 21:44:42+00:00,0,X,"As soon as I start commenting on the various videos I've seen here, X starts restricting what I have to say and labels it hate speech..."
HoyBoy60662029,,False,2024-12-17 21:10:43+00:00,0,X,"This platform under your watch @elonmusk gives people the freedom of speech to post negative things but when one tries to call them out on thier negativity all of a sudden there is a ""violation of the rules""! Pls help me make sense of it all! Hate speech/bullying is acceptable?"
dubsportshub,,False,2024-12-17 20:54:27+00:00,3,X,"Geno Smith stats 2024 szn:

Inside the Red Zone (20 yrd line):

47% ranked 34th in NFL

Inside the Black Zone (10 yrd line):

18% ranked 46th in the NFL

Please no hate speech I’m literally just sharing stats. Please and thank you. 🙏🏽"
